KB_ID,Title,Authors,Year,Venue,Geography,Type,Disciplines,Purpose,Audience,Abstract,Key_Takeaways,Actionable_Items,Methods,Keywords,Related_Docs,File_Link,Rights,Confidence
KB-0001,Creating Tourism Surety in Economically Challenging Times,Dr. Peter Tarlow,2003,Caribbean Seminar: Best Practices in Public/Private Sector Cooperation – Enhancing Tourism Competitiveness,Barbados / Caribbean,Conference presentation / seminar booklet,Tourism & hospitality management; Risk management; Crisis & emergency management; Security & law enforcement; Public–private partnership,Educate / guide; Policy / recommendations,"Tourism officials, law enforcement, security managers, policy makers","Practical guidance on balancing tourism safety, risk management, and marketing; argues that visible, authentic security increases visitor confidence and destination competitiveness.",Visible security builds trust; Distinguish risk vs crisis; Create cross-sector task forces; Train police in tourism; Prioritize real over cosmetic security.,Form tourism security task force; Create community security brochure; Train TOPS officers; Conduct security audits; Develop crisis playbooks.,Seminar-based presentation integrating applied examples and conceptual distinctions between risk and crisis management.,"tourism security, crisis management, PPP, visible policing, CPTED, hospitality safety",,Barbados.1.pdf,All material under US copyright; used with permission of author,High
KB-0002,"Religion, Violence and Terrorism",Dr. Peter Tarlow,2012,Tourism & More Publications,Global,Research article / analytical essay,Sociology of religion; Terrorism studies; Political science; Ethics,Analyze / evaluate; Educate / guide,"Researchers, policy analysts, religious studies scholars","Examines links between religion and violence, arguing that while religion can be a factor in terrorism, socio-political and psychological variables are equally significant.","Avoid mono-causal explanations; Religion can both promote peace and justify violence; Terrorism is sociopolitical, not purely theological.",Encourage multidisciplinary study; Integrate ethics into counter-terror training; Foster interfaith dialogue for prevention.,Qualitative comparative analysis of historical and contemporary examples of religious violence.,"religion, terrorism, ethics, violence, ideology, radicalization",,04_Religion_Violence_and_Terrorism.pdf,© Author,High
KB-0003,Aggieland – A Special Spot Deep in the Heart of Texas,Dr. Peter Tarlow,2015,Tourism & More Feature Essay,"College Station, Texas, USA",Cultural essay / tourism destination profile,Cultural studies; Tourism geography; Regional identity,Inform / brief; Promote / advocate,"Travel writers, cultural tourism promoters, students","Explores Texas A&M’s cultural identity and local traditions, positioning College Station as a distinctive cultural tourism site.",Culture builds identity; Tradition drives tourism; Authentic local experience enriches destinations.,Highlight community heritage; Support student-led tourism; Integrate academic history into tourism branding.,Descriptive ethnographic observation combined with narrative reflection.,"Texas tourism, Aggieland, cultural tourism, identity, university towns",,aggieland-a-special-spot-deep-in-the-heart-of-texas.pdf,© Author,High
KB-0004,"Being Lost: Tourism, Risk and Vulnerability in the Post-9/11 Entertainment Industry",Dr. Peter Tarlow,2010,Tourism Security Studies Journal,Global,Peer-reviewed research article,Tourism studies; Risk management; Cultural psychology; Media studies,Analyze / evaluate; Research / original findings,"Academics, security professionals, film researchers",Analyzes post-9/11 media narratives depicting tourist vulnerability to understand cultural fears surrounding travel and risk.,Popular media reflects collective anxiety; Risk perception shapes tourism behavior; Emotional narratives drive policy shifts.,Use storytelling in security training; Analyze film narratives for public sentiment insights.,Media content analysis and cultural semiotics.,"tourism risk, vulnerability, media, post-9/11, culture, perception",,BEING LOST TOURISM RISK HOSPITALITY POS 911.pdf,© Author,High
KB-0005,Fundamentals of Tourism Security (STSS 2019 Course),"Dr. Peter Tarlow, Željana Bašić, Šimun Anđelinović, Ivana Kružić",2019,University of Split Summer School,"Split, Croatia",Training syllabus / academic course outline,Tourism security; Criminology; Crisis management; Education,Train / instruct; Implement / operate,"Students, tourism professionals, law enforcement trainees","Outlines a 5-day course on tourism safety covering terrorism, crimes, and crisis communication with practical exercises and field training.",Hands-on security training; Integration of law enforcement and tourism education; Applied risk management.,Establish local training modules; Partner academia and police; Conduct on-site crisis simulations.,"Experiential learning, lectures, and field practice.","tourism security, training, crisis, terrorism, education, fieldwork",,Course-bt 2019 Fundamentals of Tourism Security.pdf,© University of Split / Authors,High
KB-0006,Do Loyalty Programs Work?,Dr. Peter E. Tarlow,2013,Tourism & More Inc.,Global,Industry article / white paper,Marketing; Consumer behavior; Tourism economics,Analyze / evaluate; Educate / guide,"Hotel managers, airline executives, marketers","Examines airline and hotel loyalty programs’ effectiveness and evolution, focusing on customer retention, complexity, and future trends.",Loyalty must meet real needs; Complexity reduces engagement; Innovation in personalization is key.,Simplify reward structures; Integrate boutique hotels; Align loyalty benefits with traveler pain points.,Comparative industry analysis using marketing case examples.,"loyalty programs, marketing, hospitality, travel, consumer behavior",,do-loyalty-programs-work.pdf,© Tourism & More Inc.,High
KB-0007,Drugs and Tourism,Dr. Peter E. Tarlow,2008,Tourism Security and Safety Monograph,Global,Policy brief / analytical article,Tourism security; Criminology; Public policy; Risk management,Educate / guide; Analyze / evaluate,"Security professionals, policymakers, tourism executives","Analyzes the impact of narco-violence on tourism security, contrasting economic crime and ideological terrorism; advocates coordinated law enforcement responses.",Cartels destabilize tourism; Drugs blur crime-terror lines; Cooperation and transparency essential.,Strengthen interagency cooperation; Educate tourism workers on cartel risks; Integrate anti-drug measures into tourism plans.,Comparative analysis of security case studies and industry responses.,"drugs, cartels, tourism security, crime, terrorism, policy",,Drugs and Tourism.PdF,© Author,High
KB-0008,Iconic Security,Dr. Peter Tarlow,2014,Tourism & More Monograph,Global,Guideline / best-practice handbook,Tourism security; Cultural heritage protection; Risk management; Sociology,Educate / guide; Implement / operate,"Security professionals, cultural heritage managers, policymakers","Defines 'iconic security' as protection of cultural or symbolic sites; integrates security, heritage preservation, and economic sustainability.",Icons attract crowds; Iconic damage spreads fear; Balance security with cultural access.,Develop heritage security protocols; Train cross-disciplinary teams; Conduct risk audits on national landmarks.,Applied security theory and risk management framework.,"iconic security, tourism surety, cultural heritage, terrorism, protection",,Iconic Security.PdF,© Author,High
KB-0009,Is Tourism Good for the Environment?,Dr. Peter Tarlow,2014,Tourism & More Publication,Global,Professional article / best-practice guide,Sustainable tourism; Environmental management; Hospitality operations,Educate / guide; Policy / recommendations,"Hospitality managers, tourism boards, sustainability officers","Evaluates tourism’s environmental impact and provides actionable steps to improve sustainability through design, policy, and awareness.",Environmental pride enhances safety; Simple changes yield impact; Measurement tools vital.,Develop green metrics; Implement eco-training; Design signage for multi-lingual clarity.,Applied sustainability assessment using hospitality examples.,"sustainability, environment, green tourism, eco-policy, hospitality management",,is-tourism-good-for-the-environment.pdf,© Author,High
KB-0010,IT Issue 1052 – Post-Paris Tourism Security Paradigm,"Prof. Chris Ryan, Dr. Peter Tarlow",2015,Industry Today Magazine,New Zealand / Global,Industry news / professional briefing,Tourism security; Crisis management; Media & communications,Inform / brief; Educate / guide,"Tourism operators, journalists, policymakers",Discusses global security implications for tourism after the Paris attacks; emphasizes integrated risk management and professional security coordination.,Security is marketing; Denial is dangerous; Cooperation ensures resilience.,Train tourism police; Create task forces; Attend security conferences; Audit airports and hotels.,Expert commentary combining academic insight with media reporting.,"tourism security, terrorism, Paris attacks, crisis management, resilience",,IT 1052p.pdf,© Industry Today / Authors,High
